date,region,min,max
2020-09-12,India_Nagaland,19.7,26.9
2020-09-13,India_Nagaland,19.8,26.2
2020-08-29,India_Odisha,23.1,31.5
2020-08-30,India_Odisha,24.1,31.7
2020-08-31,India_Odisha,25.1,32.2
2020-09-01,India_Odisha,24.9,31.1
2020-09-02,India_Odisha,23.9,30.4
2020-09-03,India_Odisha,23.6,32
2020-09-04,India_Odisha,23.8,32.4
2020-09-05,India_Odisha,24.4,32
2020-09-06,India_Odisha,25.1,32.1
2020-09-07,India_Odisha,25.1,31.9
2020-09-08,India_Odisha,24.3,31.9
2020-09-09,India_Odisha,23.9,32
2020-09-10,India_Odisha,24.7,33
2020-09-11,India_Odisha,24.2,33
2020-09-12,India_Odisha,23.1,31.7
2020-09-13,India_Odisha,25.4,31.5
2020-08-29,India_Puducherry,24.9,33.3
2020-08-30,India_Puducherry,25.4,33.1
2020-08-31,India_Puducherry,25.5,32.9
2020-09-01,India_Puducherry,25.2,34
2020-09-02,India_Puducherry,24.9,32.9
2020-09-03,India_Puducherry,24.8,33.5
2020-09-04,India_Puducherry,25.5,33.1
2020-09-05,India_Puducherry,25.4,34
2020-09-06,India_Puducherry,25.9,35.9
2020-09-07,India_Puducherry,25.6,36
2020-09-08,India_Puducherry,24.7,34.1
2020-09-09,India_Puducherry,22.6,32.9
2020-09-10,India_Puducherry,21.6,32.2
2020-09-11,India_Puducherry,22.6,31.1
2020-09-12,India_Puducherry,24,32.5
2020-09-13,India_Puducherry,26.1,32.4
2020-08-29,India_Punjab,26.3,36.1
2020-08-30,India_Punjab,26.9,35.2
2020-08-31,India_Punjab,26.6,34.6
2020-09-01,India_Punjab,25.7,34.9
2020-09-02,India_Punjab,26,33.9
2020-09-03,India_Punjab,26.1,33.8
2020-09-04,India_Punjab,25.9,33.1
2020-09-05,India_Punjab,25.7,32.4
2020-09-06,India_Punjab,25.9,35.7
2020-09-07,India_Punjab,26.5,36.9
2020-09-08,India_Punjab,24.8,34
2020-09-09,India_Punjab,26.1,31.4
2020-09-10,India_Punjab,24.3,31.5
2020-09-11,India_Punjab,23.2,28.4
2020-09-12,India_Punjab,24.5,32.1
2020-09-13,India_Punjab,26.6,32.1
2020-08-29,India_Rajasthan,30.4,35.4
2020-08-30,India_Rajasthan,29.1,36.3
2020-08-31,India_Rajasthan,27,33.4
2020-09-01,India_Rajasthan,25.4,31.2
2020-09-02,India_Rajasthan,27.2,30.5
2020-09-03,India_Rajasthan,26.9,33.8
2020-09-04,India_Rajasthan,28,34.1
2020-09-05,India_Rajasthan,28,35.6
2020-09-06,India_Rajasthan,27.4,36
2020-09-07,India_Rajasthan,24.9,35.5
2020-09-08,India_Rajasthan,25,33.9
2020-09-09,India_Rajasthan,25.4,31.8
2020-09-10,India_Rajasthan,25.9,33.7
2020-09-11,India_Rajasthan,27,34.5
2020-09-12,India_Rajasthan,29.2,35.5
2020-09-13,India_Rajasthan,32.7,36.5
2020-08-29,India_Sikkim,17.8,26.9
2020-08-30,India_Sikkim,18.1,27.5
2020-08-31,India_Sikkim,18.4,28.3
2020-09-01,India_Sikkim,18.9,26.4
2020-09-02,India_Sikkim,18.8,26.9
2020-09-03,India_Sikkim,18.5,27
2020-09-04,India_Sikkim,19.2,26.4
2020-09-05,India_Sikkim,19.1,26.4
2020-09-06,India_Sikkim,18.9,23.4
2020-09-07,India_Sikkim,18.4,22.6
2020-09-08,India_Sikkim,18.1,22.9
2020-09-09,India_Sikkim,17.7,24.4
2020-09-10,India_Sikkim,16.8,24.9
2020-09-11,India_Sikkim,16.9,25.4
2020-09-12,India_Sikkim,17,26.3
2020-09-13,India_Sikkim,18.1,25.3
2020-08-29,India_Tamil Nadu,22.1,27.9
2020-08-30,India_Tamil Nadu,22.1,28.5
2020-08-31,India_Tamil Nadu,21.6,30.3
2020-09-01,India_Tamil Nadu,22.4,29.4
2020-09-02,India_Tamil Nadu,23.2,29.9
2020-09-03,India_Tamil Nadu,23.2,31.1
2020-09-04,India_Tamil Nadu,23.6,32
2020-09-05,India_Tamil Nadu,23.2,32.3
2020-09-06,India_Tamil Nadu,23.6,32.2
2020-09-07,India_Tamil Nadu,23.7,30.8
2020-09-08,India_Tamil Nadu,24,29.1
2020-09-09,India_Tamil Nadu,24.1,29.9
2020-09-10,India_Tamil Nadu,23,30
2020-09-11,India_Tamil Nadu,23.2,29.2
2020-09-12,India_Tamil Nadu,23.1,29.8
2020-09-13,India_Tamil Nadu,25.1,29.8
2020-08-29,India_Telangana,25.4,36.2
2020-08-30,India_Telangana,26,35.5
2020-08-31,India_Telangana,25.9,35.6
2020-09-01,India_Telangana,25.4,35.4
2020-09-02,India_Telangana,25.8,34.6
2020-09-03,India_Telangana,26,34.5
2020-09-04,India_Telangana,25.6,33.5
2020-09-05,India_Telangana,25.2,33.5
2020-09-06,India_Telangana,25.9,34.5
2020-09-07,India_Telangana,26.1,36.5
2020-09-08,India_Telangana,25.3,33.8
2020-09-09,India_Telangana,25.1,32
2020-09-10,India_Telangana,24.6,32.1
2020-09-11,India_Telangana,22.6,25.5
2020-09-12,India_Telangana,23.5,30.6
2020-09-13,India_Telangana,25.6,30.6
2020-08-29,India_Tripura,23.4,32.5
2020-08-30,India_Tripura,23.9,31.8
2020-08-31,India_Tripura,24.2,31.4
2020-09-01,India_Tripura,23,26.2
2020-09-02,India_Tripura,22.6,34.1
2020-09-03,India_Tripura,23.3,33.5
2020-09-04,India_Tripura,23.1,32.4
2020-09-05,India_Tripura,23.7,31.6
2020-09-06,India_Tripura,23.9,30.9
2020-09-07,India_Tripura,23.1,24.8
2020-09-08,India_Tripura,22.3,29.1
2020-09-09,India_Tripura,23.4,30.1
2020-09-10,India_Tripura,23,29.5
2020-09-11,India_Tripura,23.1,33.7
2020-09-12,India_Tripura,23.4,33.8
2020-09-13,India_Tripura,23.9,33.2
2020-08-29,India_Uttar Pradesh,24.6,32.8
2020-08-30,India_Uttar Pradesh,25.3,33
2020-08-31,India_Uttar Pradesh,25.6,32.6
2020-09-01,India_Uttar Pradesh,25.8,33.5
2020-09-02,India_Uttar Pradesh,25,28.6
2020-09-03,India_Uttar Pradesh,24.7,33.5
2020-09-04,India_Uttar Pradesh,26.4,34.3
2020-09-05,India_Uttar Pradesh,26.5,35
2020-09-06,India_Uttar Pradesh,26.8,34.6
2020-09-07,India_Uttar Pradesh,26.3,34.6
2020-09-08,India_Uttar Pradesh,25.4,33
2020-09-09,India_Uttar Pradesh,23.6,31.8
2020-09-10,India_Uttar Pradesh,23.6,31.8
2020-09-11,India_Uttar Pradesh,23.1,32.2
2020-09-12,India_Uttar Pradesh,24.1,32.2
2020-09-13,India_Uttar Pradesh,26.8,32.2
2020-08-29,India_Uttarakhand,21.8,30.6
2020-08-30,India_Uttarakhand,22.4,31.8
2020-08-31,India_Uttarakhand,22.9,30.3
2020-09-01,India_Uttarakhand,23,31.1
2020-09-02,India_Uttarakhand,23.4,28.6
2020-09-03,India_Uttarakhand,22.4,31.9
2020-09-04,India_Uttarakhand,23.2,31.3
2020-09-05,India_Uttarakhand,23.4,31.9
2020-09-06,India_Uttarakhand,23.4,32.2
2020-09-07,India_Uttarakhand,23.3,32.8
2020-09-08,India_Uttarakhand,22.2,31.6
2020-09-09,India_Uttarakhand,21.2,28.3
2020-09-10,India_Uttarakhand,20.2,29.1
2020-09-11,India_Uttarakhand,20.6,29.6
2020-09-12,India_Uttarakhand,21.2,30.4
2020-09-13,India_Uttarakhand,23.4,30.4
2020-08-29,India_West Bengal,25.4,34
2020-08-30,India_West Bengal,26.3,35.5
2020-08-31,India_West Bengal,27.2,35.3
2020-09-01,India_West Bengal,26.6,30.5
2020-09-02,India_West Bengal,25.4,33.2
2020-09-03,India_West Bengal,25.5,33.8
2020-09-04,India_West Bengal,25.9,34.2
2020-09-05,India_West Bengal,25.7,34.3
